mois,annee,sites_ouverts_total,sites_ouverts_parcs_et_jardins,sites_ouverts_bibliotheques,sites_ouverts_hotel_de_ville,sites_ouvertes_centre_culturel_s,sites_ouverts_divers,trafic_en_minutes_total,trafic_en_minutes_parcs_et_jardi,trafic_en_minutes_bibliotheques,trafic_en_minutes_hotel_de_ville,trafic_en_minutes_centre_culture,trafic_en_minutes_divers,nombre_session_total,nombre_session_parcs_et_jardins,nombre_de_sessions_bibliotheques,nombre_de_sessions_hotel_de_vill,nombre_de_sessions_centre_cultur,nombre_de_sessions_divers,nombre_de_minutes_session,nbr_de_go_total,nbr_de_mo_session
Juin,2010,314,152,66,28,61,7,2 269 465,47,672 373,08,1 054 930,72,215 250,12,295 519,82,31 391,73,47491,19450,17273,4605,5397,766,48,5 012,108
Décembre,2010,319,152,66,29,64,8,2 520 169,90,376 506,32,1 476 852,68,263 939,02,364 824,50,38 047,38,46378,8556,23806,5818,7285,913,54,6 102,135
Août,2011,314,145,66,30,63,10,2 370 405,63,690 643,50,1 087 214,18,265 250,50,290 671,45,36 626,00,50711,21484,16619,4938,6640,1030,47,8 038,162
Mars,2012,312,142,65,30,63,12,2 899 785,93,372 740,48,1 609 417,98,344 539,20,531 702,22,41 386,05,61602,14085,27259,7309,11891,1058,47,8 027,133
Avril,2009,243,125,34,28,50,6,646 352,20,273 714,07,60 975,97,92 067,47,196 527,43,23 067,27,14149,7431,1007,1880,3395,436,46,719,52
Février,2010,314,152,66,28,61,7,2 279 225,85,423 263,75,1 282 253,12,180 582,78,352 979,27,40 146,93,40291,9467,20045,3504,6318,957,57,3 499,89
Décembre,2011,314,145,66,30,63,10,2 655 943,67,312 405,15,1 610 363,98,311 542,73,384 514,17,37 117,63,50419,8507,26497,6144,8377,894,53,8 302,169
Juillet,2013,322,150,66,31,65,10,9333832,5357460,1409800,878438,1625733,62401,103123,62339,14350,9135,16682,617,181,91,93
Octobre,2011,314,145,66,30,63,10,2 841 835,63,540 206,58,1 452 048,32,289 512,13,501 472,40,58 596,20,58869,16107,23538,5900,11866,1458,48,8 283,144
Mars,2010,314,152,66,28,61,7,2 390 611,72,476 039,65,1 335 583,82,170 861,78,372 355,63,35 770,83,45515,12328,21361,3867,7134,825,53,4 218,95
Juillet,2010,314,152,66,28,61,7,2 120 698,37,748 040,87,804 241,02,248 953,45,292 539,55,26 923,48,46423,22116,12731,4836,6005,735,46,5 082,112
Février,2011,318,151,66,30,62,9,2 684 055,12,416 438,50,1 527 550,07,301 938,67,400 590,13,37 537,75,48582,9922,23686,5914,7985,1075,55,6 456,136
Septembre,2011,314,145,66,30,63,10,2 842 076,52,684 874,38,1 334 802,10,319 306,37,458 878,55,44 215,12,59186,21249,20823,6348,9654,1112,48,8 004,138
Avril,2012,311,142,64,30,63,12,2 552 804,57,303 722,48,1 444 145,17,310 769,75,452 893,62,41 273,55,53154,11607,24761,6381,9522,883,48,6 814,131
Juin,2012,310,142,64,30,63,11,2 752 613,40,430 988,77,1 348 568,28,314 821,63,600 482,65,57 752,07,60649,16678,22866,6834,12913,1358,45,7 294,123
Mai,2009,322,155,69,28,63,7,1 571 972,95,603 977,57,581 255,62,141 831,47,231 277,38,13 630,92,31684,15271,9317,2622,4152,322,50,2 002,65
Mars,2013,314,146,65,31,64,8,438,2,183,1,212,40,16,2,2,1,9,2,37,27,8
Ao&ucirc,2013,2013,31,322,65,66,150,10,635561,7880445,952751,1578493,4673768,157,6519,86321,9671,15978,53760,393,186,91
